,Eth_price
0,112.98717765351836
1,936.1819861506976
2,276.2483998842078
3,491.6052310050208
4,184.56220993118166
5,205.52938928444067
6,114.93622082008022
7,196.50783871537553
8,948.9271817434858
9,219.98710088368472
10,361.3374822720951
11,149.90736484008005
12,288.50828964852457
13,1.8055395179637264
14,202.59820563208842
15,288.2064445879875
16,213.8286283172729
17,304.12885631619423
18,411.83081581835734
19,721.1104430227651
20,263.1985370471749
21,328.23512672703674
22,603.9767358926694
23,91.03968350578374
24,77.88637824253166
25,65.10081847491931
26,586.2342807717283
27,590.1292759960345
28,243.03150149104908
29,162.25741130414713
30,490.11150403556
31,1056.0622220725359
32,70.5810365687028
33,47.10451171170185
34,105.86631386089392
35,76.861672978469
36,9.746516907620839
37,56.09571810447337
38,248.92727532516204
39,241.93761819375612
40,265.6886588582893
41,532.2621580465994
42,165.5544287705467
43,45.480287344139235
44,82.76016159031252
45,23.011706330297777
46,198.7497537303557
47,410.75191184107774
48,224.95133862772332
49,1039.1104415365057
50,203.06009110717
51,350.28134132519983
52,511.3140603968968
53,175.2062401351671
54,90.67875285513827
55,171.83253188714673
56,217.65520244831535
57,353.52006219561395
58,85.06606961772916
59,762.4823577615538
60,473.8406969915402
61,399.5009925251215
62,122.84656083341838
63,60.14258094291045
64,67.18130737430498
65,367.6530876666444
66,184.9178980134591
67,8.671960721633548
68,68.08465797710473
69,176.29413639053183
70,316.11170891438724
71,280.6165669381092
72,238.45784581083782
73,181.27744286337037
74,85.77222985837099
75,254.59603139899667
76,68.64346572478955
77,243.99989053048097
78,13.873394330128166
79,293.58443737156654
80,44.67160988524024
81,194.46577204869004
82,3.9626251442723155
83,506.8896748894878
84,327.6720064915463
85,307.0240777560608
86,71.04323682252316
87,219.30751479774105
88,67.65553363417693
89,30.631582723005092
90,171.62994854472674
91,29.287805500102277
92,823.4128140156381
93,170.14069516193914
94,125.52482289007233
95,161.15203882043784
96,31.057298842230214
97,506.91436965436674
98,104.96725950660576
99,83.06496553917223
100,223.77204105878303
101,183.85058777375963
102,69.94189230319884
103,268.4039643432673
104,588.039154287299
105,140.81664126041426
106,27.071820593682787
107,722.6735739510196
108,653.692825674121
109,1337.6935252168298
110,73.01877601211987
111,1001.5978405030111
112,858.4911809120958
113,149.24283935816086
114,102.56496705029825
115,141.2950941156779
116,63.03310366574914
117,61.960952052071576
118,77.51613100036406
119,251.7337407313655
120,189.43182466493778
121,121.79484230389454
122,140.18744103923657
123,19.937337431553907
124,231.06298919992494
125,188.474907800191
126,191.00838301951399
127,484.36623271059165
128,147.2242549675665
129,98.81795045550687
130,222.385504950081
131,205.82064850341413
132,153.24837558284742
133,245.65544468147107
134,269.59257200275675
135,104.4745273430654
136,492.025317195295
137,397.5379083034844
138,48.519313864433556
139,107.94219761592382
140,286.1496204426423
141,151.81839719051328
142,268.2960889402774
143,1203.7673431795502
144,95.66725729310426
145,202.93979584663822
146,268.29012847705695
147,216.41904417222813
148,538.5992928410545
149,1000.7558559894994
150,179.06512541381687
151,151.66502928392387
152,250.2879691271984
153,191.66097659575883
154,79.26271973573093
155,267.0478405389361
156,335.7230303439116
157,275.5715127390047
158,23.859317057954392
159,50.274998386593005
160,409.6819499430379
161,47.68289648189806
162,232.29615856993917
163,17.019697442729253
164,362.08403797360575
165,168.43993719030667
166,298.74905239999623
167,1080.2153998731283
168,305.0987506516603
169,19.153866493253435
170,298.5626077140726
171,153.78758266997565
172,407.53216054664955
173,1299.7320204159987
174,122.5224226276115
175,990.7233944706867
176,413.02937996925294
177,56.663845429410394
178,24.894426962223516
179,181.64215818676863
180,1114.921355915381
181,360.5580889299529
182,463.5669425313381
183,182.52138648496458
184,343.25533213332466
185,23.31835576281323
186,432.7601455020333
187,39.93280315393074
188,505.5794281329417
189,113.14349842161074
190,866.2264990939997
191,981.5138242504931
192,135.4318311709877
193,291.5388283654627
194,958.0115802721501
195,187.1388550000894
196,510.4391919466077
197,253.66059098260095
198,199.65195758840179
199,307.8339017137463
200,1228.537321392647
201,118.73626375419569
202,161.32427731407205
203,345.6582993924662
204,110.36532102051734
205,365.7009973149205
206,578.2389238792563
207,225.2984457016675
208,178.25810920965145
209,739.2679642070651
210,197.3302243856808
211,154.80410609430524
212,139.2218140632021
213,497.66309629773815
214,140.95662700023925
215,290.0343142956824
216,380.2928928771681
217,24.235003693815905
218,313.44260944627456
219,437.0560912553809
220,374.5523980431299
221,329.3039776607209
222,565.588243255765
223,524.4277202672239
224,282.6695338405566
225,459.72282238443216
226,137.98852286516657
227,220.29482025761126
228,240.54986729097374
229,51.34673653887951
230,76.1184166768304
231,15.530262508476527
232,69.12400141977439
233,524.5433023575107
234,166.2634613926117
235,788.3595329766212
236,411.7592544645439
237,426.33162787430587
238,217.1435210973308
239,682.6441517969438
240,467.8028494225369
241,793.4390500702349
242,1215.7745613541076
243,267.3464418034449
244,61.4348106609768
245,171.1560605114581
246,883.4106674856885
247,200.39877289027874
248,419.9797784607731
249,373.04364765924777
250,34.392362230913584
251,58.359219207665944
252,203.511617396719
253,348.57369230539757
254,26.71968272956458
255,13.675326191609912
256,352.68406663807355
